state,avg_feel_safe_at_home,avg_leave_lights_on,n_households
Baja California Sur,1.6071428,1.7142857,28
Yucatán,1.76,1.8,25
Sonora,1.7884616,1.4615384,52
Puebla,1.7916666,2.2916667,48
Coahuila,1.8028169,2.0704226,71
Morelos,1.8125,2.0208333,96
Nuevo León,1.8376068,1.7692307,117
Veracruz,1.8387097,2.0,62
Jalisco,1.8829787,2.1276596,94
Michoacán,1.902439,2.1707318,41
Estado de México,1.9602649,1.781457,151
Sinaloa,1.9726027,2.0136986,73
Durango,1.98,2.0,100
Guanajuato,2.0084033,2.092437,119
Oaxaca,2.0609756,1.7317073,82
Distrito Federal,2.0625,2.2083333,48
