folio,total_debts_plus_interest_pesos
002320AP00,500000.0
001570CP03,300000.0
002690AP00,240000.0
001440AP00,200000.0
006410CP03,130000.0
001280AP00,120000.0
001220AP00,110000.0
000250CP05,105000.0
002520AP00,100000.0
004410AP00,62000.0
001510AP00,60000.0
001170BP02,50000.0
006330CP02,50000.0
000670AP00,50000.0
001410AP00,50000.0
004690CP02,40000.0
003490AP00,40000.0
002870AP00,40000.0
002950AP00,36000.0
004690AP00,35700.0
004940AP00,30000.0
002890AP00,30000.0
000920AP00,30000.0
002800AP00,25000.0
001900AP00,25000.0
005880AP00,25000.0
006180AP00,25000.0
001470AP00,20000.0
003420AP00,20000.0
003640AP00,20000.0
000270AP00,20000.0
001970AP00,20000.0
001740AP00,20000.0
005640AP00,20000.0
002900AP00,20000.0
