folio,ent,edad,vlh18a
011580AP00,30.0,80.0,0.0
043970AP00,14.0,79.0,0.0
018110AP00,31.0,78.0,0.0
097160AP00,19.0,77.0,0.0
046341AP00,14.0,75.0,0.0
097610AP00,19.0,72.0,0.0
095510AP00,19.0,72.0,0.0
025970AP00,15.0,71.0,0.0
030330AP00,17.0,71.0,0.0
082520BP01,5.0,69.0,0.0
069040BP01,25.0,69.0,0.0
095270AP00,19.0,67.0,0.0
085700AP00,10.0,67.0,0.0
007210AP00,30.0,67.0,0.0
077180AP00,26.0,66.0,0.0
029470AP00,15.0,66.0,0.0
039570AP00,21.0,64.0,0.0
008300AP00,30.0,64.0,0.0
022340AP00,9.0,63.0,0.0
006840AP00,30.0,62.0,0.0
009300AP00,30.0,61.0,0.0
037460AP00,21.0,61.0,0.0
040550AP00,14.0,60.0,0.0
093870AP00,19.0,60.0,0.0
023510AP00,15.0,60.0,0.0
102460AP00,15.0,60.0,0.0
023600AP00,15.0,59.0,0.0
092720AP00,19.0,59.0,0.0
083610AP00,5.0,59.0,0.0
087670AP00,10.0,59.0,0.0
031550AP00,17.0,58.0,0.0
020670AP00,9.0,57.0,0.0
046710AP00,16.0,57.0,0.0
009780AP00,30.0,57.0,0.0
009380AP00,30.0,57.0,0.0
037230AP00,21.0,57.0,0.0
081900AP00,5.0,57.0,0.0
033240AP00,17.0,57.0,0.0
033750AP00,17.0,57.0,0.0
096710AP00,19.0,57.0,0.0
073540AP00,26.0,56.0,0.0
046530AP00,14.0,56.0,0.0
092690AP00,19.0,56.0,0.0
082380AP00,5.0,56.0,0.0
001360AP00,20.0,55.0,0.0
083380AP00,5.0,55.0,0.0
020850AP00,9.0,55.0,0.0
064210AP00,3.0,54.0,0.0
035090AP00,21.0,54.0,0.0
096000AP00,19.0,54.0,0.0
031140AP00,17.0,54.0,0.0
087370AP00,10.0,53.0,0.0
072890AP00,26.0,53.0,0.0
037560AP00,21.0,53.0,0.0
032530AP00,17.0,53.0,0.0
071710AP00,25.0,52.0,0.0
070920AP00,25.0,52.0,0.0
041350AP00,14.0,52.0,0.0
002890AP00,20.0,51.0,0.0
081980AP00,5.0,51.0,0.0
060200AP00,3.0,51.0,0.0
092560AP00,19.0,51.0,0.0
048290AP00,16.0,51.0,0.0
057710AP00,11.0,51.0,0.0
075970AP00,26.0,50.0,0.0
002640AP00,20.0,50.0,0.0
000250AP00,20.0,50.0,0.0
021410AP00,9.0,50.0,0.0
003640AP00,20.0,49.0,0.0
096500AP00,19.0,49.0,0.0
012150AP00,30.0,49.0,0.0
095620AP00,19.0,49.0,0.0
041080AP00,14.0,49.0,0.0
049460AP00,16.0,49.0,0.0
008380AP00,30.0,49.0,0.0
000430AP00,20.0,48.0,0.0
041240AP00,14.0,48.0,0.0
023620AP00,15.0,48.0,0.0
081450AP00,5.0,48.0,0.0
034470AP00,17.0,47.0,0.0
031710AP00,17.0,47.0,0.0
031440AP00,17.0,47.0,0.0
006180AP00,20.0,47.0,0.0
002880AP00,20.0,47.0,0.0
033490AP00,17.0,46.0,0.0
055770AP00,11.0,46.0,0.0
080480AP00,5.0,46.0,0.0
033700AP00,17.0,45.0,0.0
030520AP00,17.0,45.0,0.0
002630AP00,20.0,45.0,0.0
020230AP00,9.0,45.0,0.0
074150AP00,26.0,45.0,0.0
017770AP00,31.0,45.0,0.0
087500AP00,10.0,45.0,0.0
092340AP00,19.0,44.0,0.0
034250AP00,17.0,44.0,0.0
018530AP00,31.0,44.0,0.0
015580AP00,30.0,44.0,0.0
021930AP00,9.0,44.0,0.0
046570AP00,14.0,44.0,0.0
017350AP00,31.0,43.0,0.0
017470AP00,31.0,43.0,0.0
012500AP00,30.0,43.0,0.0
070030AP00,25.0,43.0,0.0
044980AP00,14.0,43.0,0.0
086120AP00,10.0,43.0,0.0
055720AP00,11.0,43.0,0.0
