folio,su234
012100AP00,200000.0
069840AP00,110000.0
069620AP00,75000.0
069750AP00,75000.0
069800AP00,70000.0
069180AP00,65000.0
069860AP00,60000.0
070130AP00,50000.0
071830AP00,50000.0
069450AP00,50000.0
070050AP00,50000.0
069120AP00,45000.0
059820AP00,37500.0
072080AP00,36480.0
069110AP00,35000.0
071950AP00,35000.0
072220AP00,34000.0
072230AP00,32000.0
072240AP00,32000.0
069300AP00,30000.0
070660AP00,30000.0
046170BP02,30000.0
068560AP00,30000.0
070020AP00,30000.0
070000AP00,28000.0
069770AP00,28000.0
071840AP00,27000.0
072050AP00,27000.0
069700AP00,25000.0
071800AP00,24000.0
069380AP00,23000.0
029660CP01,22000.0
070180AP00,22000.0
069390AP00,22000.0
029660AP00,22000.0
045380AP00,20000.0
088440AP00,19500.0
069190AP00,18000.0
088510AP00,17600.0
070650AP00,16000.0
054140AP00,15000.0
059730AP00,15000.0
072310AP00,14000.0
090590AP00,12000.0
059860AP00,11600.0
