folio,in02a11
098420AP00,24000.0
006410AP00,16000.0
091420AP00,12000.0
078280AP00,12000.0
078450AP00,12000.0
083430AP00,12000.0
039530AP00,12000.0
070670AP00,12000.0
085210AP00,12000.0
069670AP00,12000.0
077310AP00,12000.0
065250AP00,12000.0
063220AP00,12000.0
089800AP00,12000.0
099780AP00,12000.0
097470AP00,12000.0
054160AP00,12000.0
057680AP00,12000.0
021640AP00,10320.0
070390AP00,10000.0
020010AP00,9600.0
021480AP00,8400.0
032430AP00,8000.0
020470AP00,8000.0
085040AP00,7650.0
077030AP00,7000.0
091380AP00,7000.0
058860BP03,6000.0
068540AP00,6000.0
071960AP00,6000.0
072060AP00,6000.0
072230AP00,6000.0
076110AP00,6000.0
076400AP00,6000.0
059000AP00,6000.0
059020AP00,6000.0
063100AP00,6000.0
062990AP00,6000.0
076580AP00,6000.0
076880AP00,6000.0
059910AP00,6000.0
076960AP00,6000.0
057440AP00,6000.0
059410AP00,6000.0
059200AP00,6000.0
077050AP00,6000.0
071130AP00,6000.0
071120AP00,6000.0
063230AP00,6000.0
069810AP00,6000.0
068640AP00,6000.0
068660AP00,6000.0
068910BP01,6000.0
069300AP00,6000.0
058260AP00,6000.0
069540AP00,6000.0
058150AP00,6000.0
064100AP00,6000.0
070950AP00,6000.0
058070AP00,6000.0
063370AP00,6000.0
058040AP00,6000.0
059090AP00,6000.0
070700AP00,6000.0
070850AP00,6000.0
070900AP00,6000.0
077200AP00,6000.0
078600AP00,6000.0
077340AP00,6000.0
077400AP00,6000.0
088520AP00,6000.0
088670AP00,6000.0
088860AP00,6000.0
089330AP00,6000.0
089340AP00,6000.0
089540AP00,6000.0
089750AP00,6000.0
090010AP00,6000.0
090220AP00,6000.0
090290AP00,6000.0
090350AP00,6000.0
090530AP00,6000.0
091090AP00,6000.0
091430AP00,6000.0
091500AP00,6000.0
094040AP00,6000.0
095390AP00,6000.0
096430AP00,6000.0
097040AP00,6000.0
097160AP00,6000.0
097700AP00,6000.0
098140AP00,6000.0
098640AP00,6000.0
088450AP00,6000.0
088170AP00,6000.0
088110AP00,6000.0
079540AP00,6000.0
077920AP00,6000.0
078430AP00,6000.0
078580AP00,6000.0
002470AP00,6000.0
078620AP00,6000.0
078650AP00,6000.0
078680AP00,6000.0
078760AP00,6000.0
079350AP00,6000.0
079420AP00,6000.0
083270AP00,6000.0
088030AP00,6000.0
083330AP00,6000.0
083670AP00,6000.0
083820AP00,6000.0
083930AP00,6000.0
084520AP00,6000.0
084890AP00,6000.0
085000AP00,6000.0
087350AP00,6000.0
087910AP00,6000.0
088010AP00,6000.0
053830AP00,6000.0
002000AP00,6000.0
053680AP00,6000.0
006300AP00,6000.0
006400AP00,6000.0
006540AP00,6000.0
012060AP00,6000.0
012460AP00,6000.0
013150AP00,6000.0
013260AP00,6000.0
013500AP00,6000.0
014060AP00,6000.0
014730AP00,6000.0
015550AP00,6000.0
015560AP00,6000.0
015700AP00,6000.0
015810AP00,6000.0
018500AP00,6000.0
019010AP00,6000.0
019090AP00,6000.0
019190AP00,6000.0
019340AP00,6000.0
019440AP00,6000.0
019500AP00,6000.0
019730AP00,6000.0
024260AP00,6000.0
026140AP00,6000.0
053380AP00,6000.0
027130AP00,6000.0
006380AP00,6000.0
006290AP00,6000.0
027600AP00,6000.0
005940AP00,6000.0
002590AP00,6000.0
003090AP00,6000.0
003550AP00,6000.0
003600AP00,6000.0
003750AP00,6000.0
003810AP00,6000.0
003920AP00,6000.0
004020AP00,6000.0
004200AP00,6000.0
004600AP00,6000.0
004710AP00,6000.0
004720AP00,6000.0
004770AP00,6000.0
004930AP00,6000.0
004970AP00,6000.0
005090AP00,6000.0
005160AP00,6000.0
005300AP00,6000.0
005350AP00,6000.0
005420AP00,6000.0
005460AP00,6000.0
005490AP00,6000.0
005500AP00,6000.0
005830AP00,6000.0
005890AP00,6000.0
027530AP00,6000.0
027100AP00,6000.0
028110AP00,6000.0
045260AP00,6000.0
049220AP00,6000.0
028390AP00,6000.0
049310AP00,6000.0
049410AP00,6000.0
049540AP00,6000.0
049580AP00,6000.0
049670AP00,6000.0
049790AP00,6000.0
049800AP00,6000.0
051540AP00,6000.0
051640AP00,6000.0
051910AP00,6000.0
052130AP00,6000.0
052240AP00,6000.0
052260AP00,6000.0
052280AP00,6000.0
052310AP00,6000.0
052340AP00,6000.0
052360AP00,6000.0
052630AP00,6000.0
053050AP00,6000.0
053060AP00,6000.0
053070AP00,6000.0
053270AP00,6000.0
053330AP00,6000.0
045890AP00,6000.0
053790AP00,6000.0
044760AP00,6000.0
036850AP00,6000.0
029690AP00,6000.0
032710AP00,6000.0
029370AP00,6000.0
033670AP00,6000.0
033850AP00,6000.0
034620AP00,6000.0
028900AP00,6000.0
044700AP00,6000.0
028570AP00,6000.0
035860AP00,6000.0
037940AP00,6000.0
028440AP00,6000.0
038100AP00,6000.0
038310AP00,6000.0
039020AP00,6000.0
039150AP00,6000.0
028420AP00,6000.0
039370AP00,6000.0
039450AP00,6000.0
039990AP00,6000.0
040330BP03,6000.0
029470AP00,6000.0
058420CP01,5000.0
091110AP00,5000.0
058490AP00,5000.0
083240AP00,5000.0
091160AP00,5000.0
059580AP00,5000.0
083940AP00,5000.0
089500AP00,5000.0
006250AP00,5000.0
