folio,amount_paid_pesos
001510AP00,70000.0
004410AP00,62000.0
002690AP00,40000.0
005800AP00,25000.0
000270AP00,20000.0
002870AP00,20000.0
005880AP00,18000.0
000210AP00,17000.0
004350AP00,17000.0
000020CP03,15000.0
001580BP04,15000.0
001440AP00,15000.0
006360AP00,13500.0
002310AP00,13000.0
002520AP00,12500.0
002800AP00,12000.0
001170BP02,12000.0
001740AP00,10000.0
002230AP00,10000.0
000250BP04,10000.0
005920AP00,10000.0
000670AP00,10000.0
000840AP00,10000.0
004450AP00,10000.0
001090AP00,10000.0
004070CP02,10000.0
002950AP00,10000.0
002890AP00,10000.0
001280AP00,10000.0
002790AP00,10000.0
002580AP00,10000.0
006410CP03,10000.0
001500AP00,9000.0
004450CP03,8000.0
001410BP03,8000.0
000070AP00,8000.0
006180AP00,8000.0
