folio,vlh18a
000370AP00,1.0
000850AP00,2.0
001160AP00,2.0
001190AP00,1.0
001900BP05,1.0
002710AP00,1.0
002900AP00,1.0
002920AP00,1.0
003810AP00,1.0
003880AP00,1.0
004710AP00,1.0
005570AP00,1.0
007100AP00,1.0
007220AP00,1.0
009390AP00,1.0
012050BP03,1.0
012350AP00,1.0
013460AP00,1.0
016770AP00,1.0
017320AP00,1.0
017910AP00,1.0
018080AP00,1.0
018300AP00,1.0
018480BP08,1.0
019030AP00,2.0
019400AP00,1.0
020130AP00,1.0
022660CP05,1.0
023700AP00,2.0
024170AP00,2.0
024290AP00,2.0
024710AP00,1.0
024960AP00,3.0
025070AP00,1.0
026120AP00,1.0
026200AP00,2.0
026690AP00,1.0
027960AP00,1.0
029810AP00,3.0
029860AP00,3.0
030120AP00,1.0
030290AP00,1.0
031460CP01,2.0
031970AP00,1.0
032040AP00,2.0
032220AP00,1.0
033080AP00,1.0
033210AP00,1.0
033530AP00,2.0
033830AP00,1.0
034480AP00,2.0
034910BP05,2.0
034970AP00,1.0
035230AP00,1.0
035730AP00,1.0
035810AP00,1.0
036590AP00,1.0
036890AP00,1.0
037450AP00,1.0
038470AP00,1.0
039520AP00,1.0
039700AP00,2.0
039850AP00,1.0
040130AP00,1.0
040190AP00,1.0
040460AP00,1.0
040890AP00,1.0
041830AP00,1.0
041980AP00,1.0
043430AP00,1.0
044710AP00,1.0
044890AP00,1.0
045120AP00,1.0
045340AP00,2.0
047290CP03,1.0
047700AP00,1.0
048310CP05,1.0
048790AP00,2.0
050480AP00,3.0
050810AP00,1.0
050890AP00,1.0
051010AP00,1.0
051420AP00,1.0
051970AP00,1.0
053780AP00,1.0
053840AP00,1.0
053850AP00,1.0
054281AP00,3.0
054290AP00,1.0
054410BP05,2.0
054820BP04,3.0
055211AP00,1.0
055430AP00,2.0
055550AP00,1.0
055750AP00,1.0
056550AP00,1.0
057600AP00,1.0
057670AP00,1.0
057920AP00,1.0
058230AP00,1.0
058930AP00,1.0
060030AP00,2.0
060040BP05,1.0
060100AP00,1.0
060350CP03,3.0
060440AP00,1.0
061360AP00,1.0
062600AP00,1.0
062900BP04,1.0
063110AP00,1.0
063400AP00,1.0
063590AP00,1.0
063900AP00,1.0
064390AP00,1.0
064920AP00,1.0
065170AP00,2.0
065800AP00,1.0
065990AP00,1.0
067190AP00,1.0
067220AP00,1.0
067280AP00,1.0
067790AP00,1.0
067820AP00,1.0
068440AP00,1.0
068790AP00,1.0
069480AP00,1.0
070210AP00,1.0
071050AP00,3.0
073450AP00,1.0
074090AP00,1.0
074400BP01,1.0
074580AP00,1.0
075470AP00,1.0
077060AP00,1.0
077260AP00,1.0
078810AP00,1.0
079430AP00,1.0
080510AP00,3.0
080590AP00,1.0
080990BP02,1.0
081310AP00,1.0
082660AP00,1.0
083240AP00,3.0
083730AP00,1.0
083860AP00,1.0
084360AP00,1.0
085640AP00,1.0
085870AP00,3.0
086170AP00,1.0
086310AP00,1.0
086620AP00,1.0
086840AP00,3.0
087140AP00,2.0
087390AP00,1.0
088120AP00,1.0
088200BP03,2.0
088480AP00,1.0
089490AP00,2.0
089700AP00,1.0
090370CP03,1.0
090560AP00,2.0
090700AP00,5.0
091000AP00,1.0
093260BP03,2.0
095820AP00,1.0
095990AP00,3.0
098070AP00,1.0
098600AP00,1.0
099290AP00,1.0
099610AP00,2.0
099940CP02,1.0
102560AP00,2.0
