ent,nna_business,avg_total_debt,num_households
3.0,No,205200.0,5
3.0,Yes,135000.0,2
5.0,No,100000.0,6
5.0,Yes,140000.0,2
9.0,No,110000.0,3
10.0,No,133850.0,10
11.0,No,157000.0,6
11.0,Yes,97400.0,5
14.0,No,46375.0,8
14.0,Yes,56000.0,3
15.0,No,65000.0,6
16.0,No,132916.67,12
16.0,Yes,100333.336,6
17.0,No,62000.0,5
17.0,Yes,65000.0,2
19.0,No,91622.22,9
19.0,Yes,250000.0,1
20.0,No,40000.0,1
20.0,Yes,110000.0,1
25.0,No,115000.0,2
25.0,Yes,30000.0,1
26.0,No,43666.668,6
30.0,No,211250.0,4
30.0,Yes,72333.336,3
31.0,No,40000.0,1
31.0,Yes,400000.0,1
