state,ent,avg_feel_safe_at_home,avg_leave_lights_as_security,households
Baja California Sur,3,1.6071428,1.7142857,28
Yucatán,31,1.76,1.8,25
Sonora,26,1.7884616,1.4615384,52
Puebla,21,1.7916666,2.2916667,48
Coahuila,5,1.8028169,2.0704226,71
Morelos,17,1.8125,2.0208333,96
Nuevo León,19,1.8376068,1.7692307,117
Veracruz,30,1.8387097,1.8852459,62
Jalisco,14,1.8829787,2.0537634,94
Michoacán,16,1.902439,2.0,41
Estado de México,15,1.9602649,1.781457,151
Sinaloa,25,1.9726027,1.9166666,73
Durango,10,1.98,2.0,100
Guanajuato,11,2.0084033,2.0338984,119
Oaxaca,20,2.0609756,1.7317073,82
Distrito Federal,9,2.0625,2.2083333,48
