folio,vlh04
002130CP05,3.0
000540BP03,3.0
002880AP00,3.0
002210AP00,3.0
000170AP00,3.0
001580AP00,3.0
001200CP06,3.0
001110AP00,3.0
100040CP02,3.0
000300AP00,3.0
000440BP03,2.0
005670AP00,2.0
003460BP05,2.0
004310AP00,2.0
004350AP00,2.0
004650BP02,2.0
004830AP00,2.0
005000AP00,2.0
006120AP00,2.0
000210AP00,2.0
006130AP00,2.0
006190AP00,2.0
006290AP00,2.0
006330AP00,2.0
006440AP00,2.0
006460AP00,2.0
006470AP00,2.0
003240AP00,2.0
002790AP00,2.0
000510AP00,2.0
002440AP00,2.0
000440AP00,2.0
000540BP05,2.0
000540BP11,2.0
000760AP00,2.0
001070AP00,2.0
000370CP04,2.0
000350CP07,2.0
001400AP00,2.0
001410AP00,2.0
001410BP03,2.0
002130CP03,2.0
000270AP00,2.0
002180AP00,2.0
002190AP00,2.0
000250AP00,2.0
000020CP03,2.0
