folio,ls,edad
000220AP00,01,71.0
000300AP00,01,55.0
000520AP00,02,50.0
000680AP00,01,60.0
000850AP00,01,45.0
001020AP00,02,50.0
001090AP00,02,64.0
001280AP00,02,55.0
001320AP00,01,54.0
001910AP00,01,55.0
001920AP00,04,66.0
002110AP00,02,61.0
002250AP00,01,68.0
002430AP00,01,65.0
002730AP00,02,65.0
003370AP00,02,62.0
003410AP00,02,47.0
003430AP00,02,73.0
003460BP05,02,64.0
003840AP00,01,57.0
003900AP00,01,60.0
004090AP00,03,58.0
004180AP00,01,45.0
004190AP00,01,64.0
004210AP00,02,49.0
004450AP00,01,54.0
004540AP00,01,70.0
004600AP00,02,77.0
004650AP00,01,49.0
004760AP00,02,49.0
004830AP00,01,61.0
004850AP00,02,74.0
004880AP00,01,73.0
004900AP00,02,65.0
004990AP00,01,50.0
005140AP00,02,54.0
005450AP00,01,64.0
005590AP00,02,51.0
005620AP00,01,45.0
005740AP00,02,46.0
005960AP00,02,48.0
005970AP00,01,51.0
006020AP00,01,51.0
006170AP00,01,56.0
006321AP00,01,67.0
006440AP00,02,69.0
006740AP00,01,50.0
006850AP00,02,47.0
006890AP00,01,59.0
007440AP00,01,52.0
007570AP00,01,45.0
007660AP00,01,52.0
007660BP04,04,58.0
007670AP00,02,45.0
008370AP00,01,57.0
008400AP00,01,74.0
008420AP00,02,69.0
008490AP00,02,63.0
008880AP00,01,63.0
009040AP00,02,65.0
009230CP04,02,59.0
009910AP00,02,69.0
010310AP00,01,49.0
010660AP00,02,58.0
010890AP00,01,50.0
010980AP00,01,81.0
011020AP00,02,56.0
012110AP00,02,54.0
012350AP00,02,49.0
012670AP00,01,55.0
012820AP00,01,50.0
013060AP00,01,55.0
013440AP00,02,45.0
013500AP00,01,76.0
013630AP00,02,50.0
013650AP00,01,63.0
013890AP00,01,47.0
014050AP00,01,49.0
014210AP00,02,53.0
014410AP00,01,56.0
014690AP00,02,57.0
015070CP05,02,56.0
015300AP00,01,59.0
017060AP00,02,46.0
017730AP00,01,72.0
017810AP00,03,61.0
017920AP00,01,45.0
018210AP00,03,48.0
018270AP00,01,51.0
018540AP00,02,54.0
018800AP00,01,54.0
019040AP00,01,47.0
019080AP00,01,53.0
019180AP00,02,45.0
019360AP00,01,61.0
020180AP00,03,55.0
020200AP00,01,54.0
020400AP00,02,45.0
020470AP00,01,80.0
020570AP00,01,57.0
020610AP00,01,74.0
020760AP00,01,62.0
020980AP00,02,55.0
021360AP00,02,53.0
021420AP00,01,57.0
021550AP00,02,56.0
021720AP00,02,46.0
021900AP00,01,70.0
021990AP00,02,54.0
022000AP00,01,56.0
022170AP00,01,54.0
022351AP00,02,46.0
022370AP00,02,54.0
023090AP00,01,56.0
023280AP00,02,51.0
023490AP00,01,59.0
023700AP00,01,75.0
023710AP00,02,65.0
023800AP00,01,75.0
023840AP00,02,64.0
024190AP00,02,55.0
024410AP00,02,55.0
024520AP00,01,62.0
025140AP00,01,64.0
025320AP00,02,56.0
025950CP01,01,46.0
025970AP00,01,71.0
026150AP00,05,72.0
026220AP00,01,76.0
026290BP03,01,45.0
026410AP00,02,54.0
026440AP00,01,55.0
026690AP00,01,53.0
026790AP00,02,54.0
027230AP00,02,51.0
028380AP00,01,81.0
028660AP00,02,64.0
028760AP00,01,65.0
028790AP00,01,48.0
028920AP00,01,49.0
029050AP00,01,45.0
029060AP00,01,45.0
029290CP04,01,51.0
029370AP00,02,71.0
029470AP00,01,66.0
030070AP00,02,57.0
030230AP00,06,63.0
030280AP00,01,46.0
030630AP00,01,59.0
030830AP00,01,76.0
031070AP00,01,65.0
031080AP00,01,71.0
031700AP00,01,52.0
031710AP00,02,47.0
032280AP00,02,59.0
032310AP00,01,55.0
032320AP00,02,51.0
032360AP00,01,52.0
032530AP00,01,53.0
032640AP00,01,49.0
032860BP04,03,53.0
032900AP00,03,70.0
032910AP00,02,61.0
033080AP00,01,76.0
033140AP00,02,52.0
033210AP00,02,48.0
033460AP00,02,47.0
033500AP00,02,48.0
033520AP00,01,49.0
033750AP00,03,57.0
034060BP03,04,59.0
034150AP00,01,52.0
034170AP00,01,74.0
034310AP00,01,67.0
034370AP00,01,58.0
034440AP00,01,62.0
034540AP00,01,47.0
034650CP03,03,77.0
034750AP00,01,45.0
035030AP00,01,57.0
035130AP00,01,52.0
035740AP00,02,50.0
035770AP00,02,50.0
036090AP00,04,48.0
036560AP00,02,47.0
036640AP00,01,67.0
036760AP00,01,52.0
036850AP00,01,72.0
036880AP00,02,52.0
036920AP00,02,45.0
036940AP00,01,51.0
037000AP00,01,57.0
037440AP00,02,63.0
037490AP00,02,47.0
037680AP00,01,47.0
037730AP00,01,49.0
038250AP00,01,47.0
038530AP00,01,67.0
038580AP00,02,52.0
038590AP00,01,45.0
038890AP00,03,54.0
038980AP00,03,50.0
039230AP00,01,75.0
039520AP00,01,66.0
040360AP00,01,60.0
040430AP00,01,73.0
040450AP00,01,62.0
040480AP00,02,56.0
040590AP00,01,47.0
041350AP00,02,52.0
041520AP00,02,51.0
041600AP00,04,62.0
041820AP00,01,45.0
041980AP00,02,48.0
042410AP00,01,49.0
042680AP00,01,47.0
042960AP00,01,72.0
043170AP00,02,61.0
043290AP00,01,68.0
043340AP00,01,65.0
043570AP00,01,62.0
043680AP00,01,46.0
043700AP00,01,56.0
043710AP00,01,47.0
043880AP00,02,51.0
043990AP00,01,59.0
044160AP00,02,69.0
044210AP00,01,56.0
044360AP00,01,70.0
044790AP00,01,49.0
044840AP00,02,56.0
044870AP00,02,52.0
044910AP00,02,50.0
045160AP00,02,56.0
045530AP00,01,73.0
045550AP00,02,52.0
045610AP00,01,63.0
045790AP00,01,58.0
045850AP00,02,49.0
