ent,avg_home_safety,total_households_in_state,avg_leave_lights_code
5.0,1.5416666,482,2.1291666
31.0,1.5657142,355,2.1885715
25.0,1.6017191,701,2.0229228
26.0,1.7283237,694,2.2341042
30.0,1.7411478,824,2.1013432
19.0,1.7461929,792,2.1573603
3.0,1.7754011,374,2.1550803
14.0,1.7864476,491,2.3264887
16.0,1.7871486,754,2.317269
21.0,1.8041003,440,2.5398633
10.0,1.819063,620,2.3602586
11.0,1.8341085,649,2.3302326
17.0,1.8358974,391,2.1589744
15.0,1.8634361,686,1.9339207
20.0,1.8829432,600,2.0769231
9.0,1.9095477,201,2.4472363
