folio,vlh18a
000740AP00,3.0
002060AP00,1.0
002950AP00,1.0
012050BP03,1.0
018260AP00,2.0
019450AP00,1.0
023800AP00,1.0
024170AP00,2.0
029810AP00,3.0
030370AP00,1.0
030790AP00,1.0
031460CP01,2.0
031960AP00,1.0
031970AP00,1.0
032220AP00,1.0
032980AP00,1.0
034480AP00,2.0
034970AP00,1.0
036690AP00,1.0
036880AP00,1.0
037630AP00,1.0
039700AP00,2.0
039850AP00,1.0
040980AP00,1.0
042380BP03,3.0
042600AP00,1.0
044290AP00,1.0
044890AP00,1.0
047700AP00,1.0
053850AP00,1.0
054351AP00,2.0
054630AP00,8.0
054740BP03,1.0
055420BP04,1.0
056240CP06,2.0
057600AP00,1.0
057920AP00,1.0
061470AP00,1.0
062630AP00,1.0
063400AP00,1.0
063460AP00,1.0
064310AP00,1.0
064560AP00,1.0
065660BP03,1.0
065800AP00,1.0
066710AP00,1.0
068440AP00,1.0
073450AP00,1.0
074580AP00,1.0
079440AP00,1.0
080250AP00,2.0
080340AP00,1.0
080510AP00,3.0
080850AP00,1.0
080990BP02,1.0
081000AP00,1.0
081570AP00,1.0
081650AP00,1.0
083580AP00,1.0
083860AP00,1.0
084360AP00,1.0
085530AP00,1.0
085640AP00,1.0
086620AP00,1.0
087390AP00,1.0
087520AP00,1.0
088480AP00,1.0
089700AP00,1.0
091390AP00,1.0
091920AP00,1.0
096860AP00,1.0
099620AP00,1.0
099700AP00,4.0
