folio,vlh18a,crh02_2
000850AP00,2.0,15000.0
001170BP02,2.0,50000.0
001500AP00,3.0,15000.0
008740AP00,2.0,14000.0
016860AP00,2.0,20000.0
017950AP00,2.0,8000.0
018260AP00,2.0,50000.0
024290AP00,2.0,6000.0
026860AP00,3.0,8000.0
029810AP00,3.0,600.0
030280AP00,2.0,5000.0
031460CP01,2.0,8000.0
033500AP00,2.0,4000.0
033530AP00,2.0,5000.0
034910BP05,2.0,20000.0
042380BP03,3.0,60000.0
045340AP00,2.0,200.0
047290AP00,2.0,30000.0
048790AP00,2.0,20000.0
054281AP00,3.0,3590.0
054351AP00,2.0,1000.0
054410BP05,2.0,6000.0
054820BP04,3.0,12000.0
056240CP06,2.0,16000.0
057660AP00,2.0,1800.0
060030AP00,2.0,60000.0
060560AP00,2.0,7700.0
062270AP00,2.0,8000.0
065170AP00,2.0,3000.0
086840AP00,3.0,10000.0
087140AP00,2.0,48000.0
088200BP03,2.0,3000.0
089490AP00,2.0,45000.0
090560AP00,2.0,20000.0
093260BP03,2.0,2500.0
095990AP00,3.0,46000.0
099700AP00,4.0,40000.0
102560AP00,2.0,20000.0
