ent,nna01,avg_debt_above_overall_mean,household_count
3.0,1.0,135000.0,2
3.0,2.0,205200.0,5
5.0,1.0,140000.0,2
5.0,2.0,100000.0,6
9.0,2.0,110000.0,3
10.0,2.0,133850.0,10
11.0,1.0,97400.0,5
11.0,2.0,157000.0,6
14.0,1.0,56000.0,3
14.0,2.0,46375.0,8
15.0,2.0,65000.0,6
16.0,1.0,100333.336,6
16.0,2.0,132916.67,12
17.0,1.0,65000.0,2
17.0,2.0,62000.0,5
19.0,1.0,250000.0,1
19.0,2.0,91622.22,9
20.0,1.0,110000.0,1
20.0,2.0,40000.0,1
25.0,1.0,30000.0,1
25.0,2.0,115000.0,2
26.0,2.0,43666.668,6
30.0,1.0,72333.336,3
30.0,2.0,211250.0,4
31.0,1.0,400000.0,1
31.0,2.0,40000.0,1
